repo,file,total_ccn,max_ccn,function_count,total_nloc,n_revs,hotspot_score
posx-mokobara-store,src/components/app/order/steps/payment-details/single-payment.tsx,27,18,7,73,24,648
posx-eume-backend,src/workflows/order-detail/steps/create-exchange-order-detail-step-v2.ts,34,16,10,140,19,646
posx-frido-backend,src/api/admin/online-cart/route.ts,23,23,1,204,28,644
posx-ugaoo-backend,src/api/admin/store-coupon/validators.ts,64,8,29,101,10,640
posx-demo-store,src/pages/online-orders/details/customer-details.tsx,319,84,50,1166,2,638
posx-frido-store,src/store/reducers/online-cart.reducer.ts,58,4,42,264,11,638
posx-mokobara-backend,src/workflows/unicommerce/steps/get-sku-rfid-mappings-step.ts,58,56,3,190,11,638
posx-frido-store,src/components/app/product/online-campaign-coupon/index.tsx,79,12,23,291,8,632
posx-comet-admin,src/routes/employees/employee-edit/components/edit-employee-form/edit-employee-form.tsx,42,28,5,105,15,630
posx-comet-backend,src/modules/rbac/service.ts,105,14,36,536,6,630
posx-frido-store,src/components/primitives/date-time-picker.tsx,210,49,61,784,3,630
posx-mokobara-backend,src/api/admin/order-detail/cash-drawer/close/route.ts,57,35,6,402,11,627
posx-comet-backend,src/modules/direct-razorpay/service.ts,48,7,13,334,13,624
posx-eume-store,src/components/app/product/online-cart-card.tsx,48,26,12,163,13,624
posx-frido-backend,src/types/validators/cart.ts,24,24,1,81,26,624
posx-ugaoo-backend,src/workflows/payment-detail/steps/verify-payment-details-step.ts,69,69,1,395,9,621
posx-ugaoo-store,src/components/app/product/online-coupon-product/index.tsx,62,7,20,234,10,620
posx-comet-store,src/pages/gift-card/top-up.tsx,44,11,21,115,14,616
posx-mokobara-backend,src/workflows/shopify-product/steps/update-product-variant-steps.ts,41,30,8,180,15,615
posx-comet-store,src/components/app/product/cart-panel.tsx,34,10,12,172,18,612
posx-eume-backend,src/jobs/complete-unicommerce-fulfillments.ts,47,42,6,310,13,611
posx-mokobara-admin,src/routes/store-details/store-details-create/components/store-details-create-form/store-details-create-form.tsx,47,12,12,380,13,611
posx-ugaoo-backend,src/workflows/exports/steps/generate-order-export-csv-step.ts,76,66,8,223,8,608
posx-ugaoo-backend,tests/adsr-order-payment.unit.spec.ts,67,1,67,763,9,603
posx-comet-store,src/pages/online-orders/details/order-details.tsx,40,22,10,180,15,600
posx-frido-store,src/components/app/orders/order-report-cards.tsx,46,23,5,145,13,598
posx-ugaoo-store,src/components/app/inventory/grn/index.tsx,85,13,32,545,7,595
posx-comet-store,src/components/app/transactions/order-transaction-card.tsx,33,31,2,165,18,594
posx-mokobara-backend,src/subscribers/return-order-confirmed.ts,66,49,10,265,9,594
posx-mokobara-admin,src/routes/reports/employee-targets/components/employee-targets-list.tsx,49,14,16,317,12,588
posx-frido-backend,src/workflows/quotation/steps/create-quotation-step.ts,39,26,8,223,15,585
posx-ugaoo-backend,src/workflows/cart/steps/save-cart-step.ts,45,29,9,67,13,585
posx-frido-admin,src/routes/store-details/store-details-create/components/payment-create-form/payment-create-form.tsx,53,8,26,298,11,583
posx-mokobara-store,src/components/app/home/custom-discount/index.tsx,53,15,13,160,11,583
posx-mokobara-backend,src/types/validators/employee.ts,34,11,7,84,17,578
posx-eume-store,src/libs/online-orders.ts,32,25,2,84,18,576
posx-frido-store,src/components/app/customer/customer-login/index.tsx,48,5,20,317,12,576
posx-mokobara-backend,src/workflows/cart/steps/change-quantity-step.ts,32,17,8,96,18,576
posx-eume-store,src/pages/online-orders/details/order-details.tsx,52,38,9,193,11,572
posx-comet-store,src/store/middlewares/transaction.middleware.ts,38,4,27,297,15,570
