sha256,repo_count,instance_count,relative_paths,repos
1c7ebecefcea806a,2,2,src/api/datachannel/order-product/route.ts,posx-frido-b2b-backend;posx-frido-backend
ebfff66e1e9390de,2,2,src/lib/helpers/transform-shopify-options.ts,posx-frido-b2b-backend;posx-frido-backend
2e6f107bebdcc50a,2,2,src/lib/helpers/calculate-custom-discount.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
d6583763c8bd5276,2,2,src/lib/helpers/get-product-metafields.ts,posx-frido-b2b-backend;posx-frido-backend
6c31324d5e89b005,2,2,src/workflows/order-detail/steps/generate-and-send-file-step.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
8e0e7b861271a5e0,2,2,src/workflows/order-detail/steps/create-exchange-order-detail-step.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
7333bfd4be2f922e,2,2,src/workflows/shopify-product/steps/throw-error-if-product-do-not-exists-step.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
bd4db60127927035,2,2,src/workflows/shopify-product/steps/validate-product-for-pos-system-step.ts,posx-frido-b2b-backend;posx-frido-backend
5dd7230c84afcd8a,2,2,src/workflows/shopify-product/steps/create-medusa-product-step.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
3637241a07e1060d,2,2,src/workflows/unicommerce/steps/get-product-from-item-code-step.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
fba8b6a73ed11844,2,2,src/workflows/online-order/workflows/confirm-online-order.ts,posx-frido-b2b-backend;posx-frido-backend
7e68edf1ba66b213,2,2,src/workflows/shopify-collection/steps/update-shopify-collection.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
d62f6a0599fb2946,2,2,src/workflows/shopify-collection/steps/update-product-association-with-collection-step.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
992da7a8a3c2b706,2,2,src/workflows/shopify-collection/steps/create-shopify-collection.ts,posx-frido-b2b-backend;posx-frido-mobility-backend
616fccb099f0aeb9,2,2,src/types/workflows/store-details.ts,posx-frido-b2b-backend;posx-frido-backend
